Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini sedlac, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini sedlac, measure IFE impact","Decile ratio, measure IFE impact","Top 10%, measure IFE impact","Bottom 10%, measure IFE impact"
91,0.45012156249729424,0.46384689583363703,0.39416974856533632,0.44271274348375894,24.75457768125705,11.082254128020748,8.017663263662746,9.070891358334045,0.2481588071956547,0.28900685454527186,0.26342231625282364,0.270546704057869,0.0069324735251415194,0.00010408455821803298,7.72787643146886e-05,0.00013071803460312466,0.55501026032535095,24.785924576731507,0.2821827762157894,0.010749141798385403,0.59166836147102453,24.785924576731507,0.2821828479894499,0.00010162692201851363
92,0.44914472849753845,0.46823309042472461,0.39445347919269058,0.44539143113349733,24.5457000808052,11.787442880571295,8.425932964900134,9.39063714353481,0.23997863688954288,0.2724277387472411,0.2556778981949619,0.2533820055711881,0.006898993852255008,0.00013492375109095978,9.601438107333194e-05,0.0001597437480498121,0.55638642540423255,26.48725091290179,0.26555205538572735,0.011019190275602858,0.59445423113149098,26.48725091290179,0.2655520926744455,0.00013151848860344152
93,0.44499503299411769,0.46856820651306846,0.39622783581237497,0.4376199181818855,24.149548459551177,11.333174341774578,8.300628275917939,8.697210393663475,0.2410655307608204,0.2812244814397181,0.2597180870687838,0.2571716755028551,0.006725127650632569,0.00019678758660295984,0.00013594884957961152,0.00017988718309743876,0.55341399427513405,23.81853229103346,0.2740605324584056,0.010907545738067487,0.59153839791751761,23.81853229103346,0.27406072503085566,0.0001917747288051805
94,0.44765246948861398,0.46323288648512706,0.39364716639525554,0.43971221854278442,25.387245858015437,11.869416752247883,8.382935939213931,9.438396380505681,0.24703498330705118,0.28084133596537114,0.26333580519256095,0.260203749136415,0.0066560170601406825,0.00020900251465135586,0.00013108761689983682,0.0001932806409749972,0.55135370277336249,24.040029020023283,0.2738287295505886,0.011001309691468838,0.58814708941064131,24.040029020023283,0.2738288475546164,0.00020378381097736414
95,0.45003123717692978,0.46401084402853926,0.39163433998051794,0.44623044845805976,25.12352150161281,11.051507277296881,8.026998887915752,9.389312967912177,0.24630379256686163,0.28549979704082873,0.26182052911928444,0.26587803482272715,0.006759480520153982,0.00014488419334036088,9.180314956413353e-05,0.00014192997598420201,0.55776113381222037,24.694564228753137,0.27842669136636544,0.011027043554794036,0.59553188267528201,24.694564228753137,0.27842677010595857,0.00014129480444217277
96,0.44407725471433646,0.4562358999660287,0.38552440617470085,0.43504971316607627,25.890852247869017,10.516311144044478,7.979645870470034,8.931159961094448,0.23412644568670285,0.25356487883489914,0.24922813744504496,0.23532888776583719,0.006496420968039732,6.424165285723143e-05,4.039192931507606e-05,8.936647952866669e-05,0.55084981543413325,24.614836600986894,0.24748616712012544,0.01064830465916152,0.58820909321825299,24.614836600986894,0.24748624580916018,6.270160742791042e-05
97,0.43984845438637782,0.4574802598729103,0.38536127727963576,0.43152361465680777,25.67773140621454,10.531619807695071,8.095428303538254,8.194445929865674,0.23624122676436693,0.257398249455355,0.25423732912113833,0.234959915555512,0.006323287723216296,-2.1090536521324885e-06,-1.6113720974348335e-06,-2.206131243850042e-06,0.55105191240719853,24.65337185669867,0.2510759631063214,0.010518969198484714,0.58796341946622843,24.65337185669867,0.2510763312919286,-2.057253515110306e-06
98,0.44637268018133225,0.45727440899575816,0.38760925260190454,0.43969611435764727,26.344470588022038,11.159628427520195,8.051284723625777,9.112725651147244,0.23803652727380947,0.253760372589506,0.25370522507041254,0.23511031315513858,0.006688204196003771,0.0002645375047907765,0.00016515424414113457,0.0002450012757281898,0.55116390419940442,27.90189620231347,0.24733054493990336,0.011115881099864996,0.58877034429632413,27.90189620231347,0.24731690294725212,0.0002578203827911399
99,0.44123541305542852,0.45477164678894244,0.38337905424271707,0.4381456254123049,26.149326361444107,10.79879280501074,7.768720164498626,8.845135727649408,0.24371040907324315,0.26562050205590465,0.25852510824804925,0.24787033656808524,0.0064924617729800104,0.0002567850117229159,0.00016202557831682726,0.0002393083719814266,0.54671294351375843,24.922446597030554,0.25923043754298264,0.010643579242398435,0.5824677362899443,24.922446597030554,0.25923056298873637,0.00025060762494150633
100,0.44431119115782913,0.46028742793009164,0.38703866144095311,0.44195373468919635,26.568040974839324,11.307388781136833,8.046360801037341,9.49563312299827,0.240593013372778,0.2601055826403727,0.2551228258782487,0.2425545163874373,0.00648894101717776,0.0002633548623105054,0.00016419963527824284,0.0002946258677977316,0.55161256924873447,31.91485879808415,0.2539007416151005,0.010713929429150946,0.5876119356448446,31.91485879808415,0.2539008272200356,0.0002570725961138105
